upload_number,mode,size_mb,avg_latency,total_stripe_build_time,avg_stripe_build_time,stripe_build_time_per_mb,total_upload_duration
32,SINGLE,1.0,0.3241,0.0123,0.0123,0.0123,19.4693
33,PARALLEL,1.0,0.1537,0.0154,0.0154,0.0154,17.3982
34,BLOCK_PARALLEL,1.0,1.0103,0.0151,0.0151,0.0151,16.7704
29,SINGLE,2.0,0.2102,0.0116,0.0116,0.0058,18.1582
30,PARALLEL,2.0,0.2584,0.0155,0.0155,0.0077,18.5038
31,BLOCK_PARALLEL,2.0,0.4954,0.0153,0.0153,0.0076,15.8918
26,SINGLE,4.0,0.1362,0.0146,0.0146,0.0036,17.382
27,PARALLEL,4.0,0.2661,0.0187,0.0187,0.0047,18.4395
28,BLOCK_PARALLEL,4.0,0.5805,0.0165,0.0165,0.0041,16.6788
35,SINGLE,8.0,0.2061,0.0122,0.0122,0.0015,18.2113
36,PARALLEL,8.0,0.2057,0.016,0.016,0.002,18.0136
37,BLOCK_PARALLEL,8.0,0.9794,0.0144,0.0144,0.0018,16.698
1,SINGLE,16.0,0.3061,0.0161,0.0161,0.001,19.2526
2,PARALLEL,16.0,0.1377,0.0146,0.0146,0.0009,17.3989
3,BLOCK_PARALLEL,16.0,2.7803,0.0154,0.0154,0.001,19.4296
23,SINGLE,16.0,0.2484,0.0173,0.0173,0.0011,18.6169
24,PARALLEL,16.0,0.1467,0.015,0.015,0.0009,17.3457
25,BLOCK_PARALLEL,16.0,1.273,0.0144,0.0144,0.0009,17.245
19,SINGLE,32.0,0.1598,0.0072,0.0072,0.0002,17.4292
20,PARALLEL,32.0,0.2815,0.0099,0.0099,0.0003,18.9922
21,BLOCK_PARALLEL,32.0,0.6024,0.0032,0.0032,0.0001,16.3761
22,PARALLEL,32.0,0.1898,0.0169,0.0169,0.0005,17.8353
38,SINGLE,32.0,0.1448,0.0157,0.0157,0.0005,17.1816
39,PARALLEL,32.0,0.3236,0.0161,0.0161,0.0005,19.2148
40,BLOCK_PARALLEL,32.0,0.4583,0.0162,0.0162,0.0005,15.8548
10,SINGLE,64.0,0.2279,0.0151,0.0076,0.0002,36.6817
11,PARALLEL,64.0,0.2598,0.0468,0.0234,0.0007,34.978
12,BLOCK_PARALLEL,64.0,0.7409,0.025,0.0125,0.0004,33.0231
4,SINGLE,128.0,0.2078,0.0334,0.0084,0.0003,73.2861
5,PARALLEL,128.0,0.2699,0.1832,0.0458,0.0014,67.1879
6,BLOCK_PARALLEL,128.0,0.8822,0.052,0.013,0.0004,65.7674
13,SINGLE,256.0,0.2085,0.0517,0.0065,0.0002,145.8438
14,PARALLEL,256.0,0.3112,2.2054,0.2757,0.0086,134.7695
15,BLOCK_PARALLEL,256.0,0.7581,0.0847,0.0106,0.0003,132.3588
16,SINGLE,512.0,0.2297,0.1014,0.0063,0.0002,295.7705
17,PARALLEL,512.0,0.3068,2.2155,0.1385,0.0043,259.4754
18,BLOCK_PARALLEL,512.0,0.8579,0.1624,0.0101,0.0003,266.4635
7,SINGLE,1024.0,0.2117,0.203,0.0063,0.0002,599.9642
8,PARALLEL,1024.0,0.2946,4.5263,0.1414,0.0044,516.2248
9,BLOCK_PARALLEL,1024.0,0.7799,0.3286,0.0103,0.0003,527.8307
