size,mode,avg_throughput
1.0,BLOCK_PARALLEL,317.13
1.0,PARALLEL,508.88
1.0,SINGLE,40.97
2.0,BLOCK_PARALLEL,523.14
2.0,PARALLEL,155.71
2.0,SINGLE,306.01
4.0,BLOCK_PARALLEL,217.24
4.0,PARALLEL,275.06
4.0,SINGLE,479.94
8.0,BLOCK_PARALLEL,175.55
8.0,PARALLEL,312.19
8.0,SINGLE,741.62
16.0,BLOCK_PARALLEL,113.7
16.0,PARALLEL,396.73
16.0,SINGLE,42.53
32.0,BLOCK_PARALLEL,259.2
32.0,PARALLEL,108.92
32.0,SINGLE,486.88
64.0,BLOCK_PARALLEL,212.43
64.0,PARALLEL,265.72
64.0,SINGLE,558.25
128.0,BLOCK_PARALLEL,240.8
128.0,PARALLEL,327.63
128.0,SINGLE,323.0
256.0,BLOCK_PARALLEL,348.42
256.0,PARALLEL,223.2
256.0,SINGLE,369.49
512.0,BLOCK_PARALLEL,289.38
512.0,PARALLEL,369.94
512.0,SINGLE,305.06
1024.0,BLOCK_PARALLEL,309.74
1024.0,PARALLEL,450.57
1024.0,SINGLE,309.33
